CustomerKey,Email,FirstName,LastName,BirthDate,Gender,MaritalStatus,HomeOwner,Children,Education,Occupation,Income
55000,julia44@kiteright.ca,JULIA,ADAMS,8/14/1996,Female,M,Y,1,High School,Management,"$10,000 "
55001,wilson63@kiteright.ca,EUGENE,WILSON,10/2/1973,Male,M,N,1,Graduate Degree,Management,"$140,000 "
55002,walker24@kiteright.ca,DOROTHY,WALKER,3/18/1968,Female,M,N,1,Bachelor Degree,Management,"$40,000 "
55003,baker4@kiteright.ca,HENRY,BAKER,2/17/1972,Male,M,Y,0,Graduate Degree,Clerical,"$160,000 "
55004,eric81@kiteright.ca,ERIC,LUO,11/27/1980,Male,M,N,2,High School,Clerical,"$160,000 "
55005,baker47@kiteright.ca,MEGAN,BAKER,8/17/1967,Female,S,Y,2,Graduate Degree,Professional,"$160,000 "
55006,hill26@kiteright.ca,RANDY,HILL,2/6/1984,Male,S,N,3,Bachelor Degree,Clerical,"$50,000 "
55007,joshua72@kiteright.ca,JOSHUA,HU,11/30/1993,Male,S,Y,3,Graduate Degree,Management,"$60,000 "
55008,amanda56@kiteright.ca,AMANDA,SHARMA,9/5/1975,Female,M,N,0,Bachelor Degree,Manual,"$170,000 "
55009,washington56@kiteright.ca,KIMBERLY,WASHINGTON,5/8/1968,Female,S,N,1,Bachelor Degree,Management,"$130,000 "
55010,alice96@kiteright.ca,ALICE,WANG,7/9/1976,Female,S,N,5,Graduate Degree,Management,"$40,000 "
55011,nath28@kiteright.ca,KATHRYN,NATH,11/2/1985,Female,S,Y,2,High School,Management,"$140,000 "
55012,serrano38@kiteright.ca,DONALD,SERRANO,3/28/1960,Male,M,N,1,Bachelor Degree,Manual,"$110,000 "
55013,carol3@kiteright.ca,CAROL,BAILEY,6/11/1969,Female,S,N,1,Graduate Degree,Professional,"$80,000 "
55014,chandra97@kiteright.ca,PAUL,CHANDRA,9/20/1984,Male,S,Y,0,Bachelor Degree,Clerical,"$40,000 "
55015,jacob99@kiteright.ca,JACOB,PEREZ,1/16/1997,Male,M,N,2,Graduate Degree,Clerical,"$160,000 "
55016,peter14@kiteright.ca,PETER,CHANDER,8/27/1987,Male,S,Y,2,Graduate Degree,Professional,"$110,000 "
55017,barbara13@kiteright.ca,BARBARA,WEADOCK,4/17/1983,Female,S,N,2,High School,Manual,"$60,000 "
55018,alan65@kiteright.ca,ALAN,VANCE,1/2/1981,Male,M,Y,2,High School,Management,"$130,000 "
55019,rubio75@kiteright.ca,NOAH,RUBIO,6/16/1988,Male,M,Y,5,High School,Manual,"$90,000 "
55020,johnny79@kiteright.ca,JOHNNY,LONG,4/16/1970,Male,M,Y,1,High School,Professional,"$50,000 "
55021,roger20@kiteright.ca,ROGER,ZHOU,1/10/1991,Male,M,N,1,Graduate Degree,Management,"$40,000 "
55022,wilson59@kiteright.ca,GARY,WILSON,9/15/1971,Male,S,Y,1,Graduate Degree,Professional,"$60,000 "
55023,cynthia81@kiteright.ca,CYNTHIA,SERRANO,7/13/1994,Female,S,N,3,Graduate Degree,Professional,"$50,000 "
55024,lal96@kiteright.ca,DANIELLE,LAL,3/14/1994,Female,M,N,1,High School,Management,"$160,000 "
55025,sanchez69@kiteright.ca,WAYNE,SANCHEZ,2/18/1981,Male,M,N,2,High School,Management,"$100,000 "
55026,powell47@kiteright.ca,MARIE,POWELL,8/7/1978,Female,S,N,2,Bachelor Degree,Manual,"$150,000 "
55027,kelly17@kiteright.ca,DENNIS,KELLY,3/17/1975,Male,M,Y,1,High School,Clerical,"$130,000 "
55028,william20@kiteright.ca,WILLIAM,KUMAR,11/4/1974,Male,S,N,0,High School,Manual,"$100,000 "
55029,diaz32@kiteright.ca,JULIE,DIAZ,2/8/1968,Female,M,N,1,Graduate Degree,Management,"$30,000 "
55030,frances49@kiteright.ca,FRANCES,SANCHEZ,10/14/1967,Female,M,N,5,Graduate Degree,Manual,"$60,000 "
55031,munoz50@kiteright.ca,ASHLEY,MUNOZ,2/26/1975,Female,M,Y,3,Bachelor Degree,Clerical,"$170,000 "
